order,Model,Epochs,Learning Rate,Batch Size,num_views,Train Dataset,test_dataset,loss,rGL,rOI,average_inference_time,mAP,ndcg@100,anmrr
27,MV_CLIP_without_adpter,66,1e-06,16,12,OS-ABO-core,OS-ABO-core,TripleLoss,0.8,0.8,0.0222,0.4243,0.4567,0.5726
28,MV_CLIP_without_adpter,66,1e-06,16,12,OS-ESB-core,OS-ESB-core,TripleLoss,0.8,0.8,0.0184,0.4453,0.2021,0.5882
26,MV_AlexNet_dis_Pre,66,1e-06,16,12,OS-MN40-core,OS-MN40-core,RelationDisLoss,0.8,0.8,0.0035,0.4342,0.5724,0.5628
30,MV_CLIP_without_adpter,66,1e-06,16,12,OS-MN40-core,OS-MN40-core,TripleLoss,0.8,0.8,0.0193,0.4501,0.5945,0.5458
29,MV_CLIP_without_adpter,66,1e-06,16,12,OS-NTU-core,OS-NTU-core,TripleLoss,0.8,0.8,0.0161,0.3911,0.2041,0.6179
30,MV_CLIP_without_adpter,66,1e-06,16,12,OS-MN40-core,OS-MN40-core,TripleLoss,0.8,0.8,0.0119,0.4501,0.5945,0.5458
46,MV_AlexNet,66,1e-06,16,4,OS-ESB-core,OS-ESB-core,TripleLoss,0.8,0.8,0.0039,0.2980,0.1515,0.7129
31,MV_AlexNet,66,1e-06,16,4,OS-ABO-core,OS-ABO-core,TripleLoss,0.8,0.8,0.0045,0.2501,0.3058,0.7430
47,MV_AlexNet,66,1e-06,16,4,OS-NTU-core,OS-NTU-core,TripleLoss,0.8,0.8,0.0022,0.2128,0.1309,0.7889
48,MV_AlexNet,66,1e-06,16,4,OS-MN40-core,OS-MN40-core,TripleLoss,0.8,0.8,0.0032,0.2885,0.3992,0.6944
33,MV_AlexNet_dis_Pre,66,1e-06,16,4,OS-ESB-core,OS-ESB-core,SimpleFeatureDistillationLoss,0.8,0.8,0.0023,0.3439,0.1668,0.6694
34,MV_AlexNet_dis_Pre,66,1e-06,16,4,OS-NTU-core,OS-NTU-core,SimpleFeatureDistillationLoss,0.8,0.8,0.0022,0.2510,0.1476,0.7457
32,MV_AlexNet_dis_Pre,66,1e-06,16,4,OS-ABO-core,OS-ABO-core,SimpleFeatureDistillationLoss,0.8,0.8,0.0032,0.3658,0.3974,0.6338
37,MV_AlexNet_dis_Pre,66,1e-06,16,4,OS-ESB-core,OS-ESB-core,RelationDisLoss,0.8,0.8,0.0038,0.3438,0.1668,0.6694
35,MV_AlexNet_dis_Pre,66,1e-06,16,4,OS-MN40-core,OS-MN40-core,SimpleFeatureDistillationLoss,0.8,0.8,0.0029,0.3797,0.4997,0.6153
38,MV_AlexNet_dis_Pre,66,1e-06,16,4,OS-NTU-core,OS-NTU-core,RelationDisLoss,0.8,0.8,0.0020,0.2508,0.1474,0.7461
36,MV_AlexNet_dis_Pre,66,1e-06,16,4,OS-ABO-core,OS-ABO-core,RelationDisLoss,0.8,0.8,0.0037,0.3646,0.3961,0.6354
41,MV_CLIP_without_adpter,66,1e-06,16,4,OS-ESB-core,OS-ESB-core,TripleLoss,0.8,0.8,0.0163,0.4048,0.1921,0.6202
40,MV_CLIP_without_adpter,66,1e-06,16,4,OS-ABO-core,OS-ABO-core,TripleLoss,0.8,0.8,0.0167,0.3753,0.4049,0.6125
42,MV_CLIP_without_adpter,66,1e-06,16,4,OS-NTU-core,OS-NTU-core,TripleLoss,0.8,0.8,0.0117,0.3622,0.1941,0.6477
43,MV_CLIP_without_adpter,66,1e-06,16,4,OS-MN40-core,OS-MN40-core,TripleLoss,0.8,0.8,0.0163,0.3844,0.5127,0.6072
39,MV_AlexNet_dis_Pre,66,1e-06,16,4,OS-MN40-core,OS-MN40-core,RelationDisLoss,0.8,0.8,0.0025,0.3762,0.4981,0.6185
50,MV_AlexNet,66,1e-06,16,12,OS-MN40-core,OS-ABO-core,TripleLoss,0.8,0.8,0.0040,0.3405,0.3879,0.6520
49,MV_AlexNet,66,1e-06,16,12,OS-ABO-core,OS-MN40-core,TripleLoss,0.8,0.8,0.0029,0.2675,0.3810,0.7116
45,MV_AlexNet_dis_Pre,66,1e-06,16,12,OS-MN40-core,OS-ABO-core,SimpleFeatureDistillationLoss,0.8,0.8,0.0057,0.3974,0.4552,0.5950
44,MV_AlexNet_dis_Pre,66,1e-06,16,12,OS-ABO-core,OS-MN40-core,SimpleFeatureDistillationLoss,0.8,0.8,0.0030,0.4336,0.5727,0.5631
5,MV_AlexNet,66,1e-06,64,12,OS-ABO-core,OS-ABO-core,TripleLoss,0.8,0.8,0.0079,0.3160,0.3626,0.6769
52,MV_AlexNet_dis_Pre,66,1e-06,16,12,OS-ESB-core,OS-ESB-core,CombineLoss,0.8,0.8,0.0028,0.0702,0.0392,0.9650
53,MV_AlexNet_dis_Pre,66,1e-06,16,12,OS-NTU-core,OS-NTU-core,CombineLoss,0.8,0.8,0.0023,0.0363,0.0221,0.9741
51,MV_AlexNet_dis_Pre,66,1e-06,16,12,OS-ABO-core,OS-ABO-core,CombineLoss,0.8,0.8,0.0034,0.0808,0.0674,0.9386
54,MV_AlexNet_dis_Pre,66,1e-06,16,12,OS-MN40-core,OS-MN40-core,CombineLoss,0.8,0.8,0.0029,0.0370,0.0161,0.982714
14,MV_AlexNet_dis_Pre,66,1e-06,16,12,OS-ABO-core,OS-ABO-core,SimpleFeatureDistillationLoss,0.8,0.8,0.0027,0.3991,0.4540,0.5948
14,MV_AlexNet_dis_Pre,66,1e-06,16,12,OS-ABO-core,OS-ABO-core,SimpleFeatureDistillationLoss,0.8,0.8,0.0027,0.3991,0.4540,0.5948
22,MV_AlexNet_dis_Pre,66,1e-06,16,12,OS-MN40-core,OS-MN40-core,SimpleFeatureDistillationLoss,0.8,0.8,0.0020,0.4371,0.5743,0.5603
16,MV_AlexNet_dis_Pre,66,1e-06,64,12,OS-ABO-core,OS-ABO-core,SimpleFeatureDistillationLoss,0.8,0.8,0.0027,0.3972,0.4525,0.5977
58,MV_AlexNet,66,1e-06,16,12,MN40-DS,MN40-DU,TripleLoss,0.8,0.8,0.0043,0.3333,0.2563,0.6820
57,MV_AlexNet,66,1e-06,16,12,MN40-DS,MN40-DS,TripleLoss,0.8,0.8,0.0044,0.6852,0.4944,0.3443
59,MV_CLIP_without_adpter,66,1e-06,16,12,\,MN40-DU,TripleLoss,0.8,0.8,0.0240,0.3821,0.3116,0.6217
60,MV_CLIP_without_adpter,66,1e-06,16,12,\,MN40-DS,TripleLoss,0.8,0.8,0.0239,0.4903,0.3767,0.5152
56,MV_AlexNet_dis_Pre,66,1e-06,16,12,MN40-DS,MN40-DU,SimpleFeatureDistillationLoss,0.8,0.8,0.0041,0.3658,0.2922,0.6256
55,MV_AlexNet_dis_Pre,66,1e-06,16,12,MN40-DS,MN40-DS,SimpleFeatureDistillationLoss,0.8,0.8,0.0042,0.4981,0.3925,0.5115
62,MV_AlexNet_dis_Pre,66,1e-06,16,12,MN40-DS,MN40-DU,RelationDisLoss,0.8,0.8,0.0030,0.3599,0.2893,0.6332
61,MV_AlexNet_dis_Pre,66,1e-06,16,12,MN40-DS,MN40-DS,RelationDisLoss,0.8,0.8,0.0030,0.4884,0.3884,0.5211
27,MV_CLIP_without_adpter,66,1e-06,16,12,OS-ABO-core,OS-ABO-core,TripleLoss,0.8,0.8,0.0108,0.4243,0.4567,0.5726
63,MV_DINOv2_without_adapter,66,1e-06,16,12,OS-ABO-core,OS-ABO-core,TripleLoss,0.8,0.8,0.1287,0.5296,0.5383,0.4828
64,MV_DINOv2_without_adapter,66,1e-06,16,12,OS-ESB-core,OS-ESB-core,TripleLoss,0.8,0.8,0.1171,0.5022,0.2171,0.5315
66,MV_DINOv2_without_adapter,66,1e-06,16,12,OS-MN40-core,OS-MN40-core,TripleLoss,0.8,0.8,0.0980,0.5547,0.6934,0.4553
65,MV_DINOv2_without_adapter,66,1e-06,16,12,OS-NTU-core,OS-NTU-core,TripleLoss,0.8,0.8,0.0422,0.4624,0.2241,0.5511
