order,Model,Epochs,Learning Rate,Batch Size,num_views,Train Dataset,test_dataset,loss,rGL,rOI,average_inference_time,mAP,ndcg@100,anmrr
1,MV_AlexNet,66,1e-06,4,12,OS-ABO-core,OS-ABO-core,TripleLoss,0.8,0.8,0.0034,0.3201,0.3496,0.6777
3,MV_AlexNet,66,1e-06,16,12,OS-ABO-core,OS-ABO-core,TripleLoss,0.8,0.8,0.0034,0.2622,0.3065,0.7248
2,MV_AlexNet,66,1e-06,8,12,OS-ABO-core,OS-ABO-core,TripleLoss,0.8,0.8,0.0035,0.3211,0.3524,0.6777
9,MV_AlexNet,66,1e-06,16,12,OS-ESB-core,OS-ESB-core,TripleLoss,0.8,0.8,0.0038,0.3425,0.1719,0.6770
6,MV_AlexNet,66,0.0001,16,12,OS-ABO-core,OS-ABO-core,TripleLoss,0.8,0.8,0.0050,0.2673,0.2981,0.7291
7,MV_AlexNet,66,1e-05,16,12,OS-ABO-core,OS-ABO-core,TripleLoss,0.8,0.8,0.0055,0.3222,0.3692,0.6764
11,MV_AlexNet,66,1e-06,16,12,OS-MN40-core,OS-MN40-core,TripleLoss,0.8,0.8,0.0036,0.3348,0.4647,0.6547
10,MV_AlexNet,66,1e-06,16,12,OS-NTU-core,OS-NTU-core,TripleLoss,0.8,0.8,0.0028,0.2395,0.1443,0.7607
8,MV_AlexNet,66,1e-07,16,12,OS-ABO-core,OS-ABO-core,TripleLoss,0.8,0.8,0.0029,0.3230,0.3777,0.6694
4,MV_AlexNet,66,1e-06,32,12,OS-ABO-core,OS-ABO-core,TripleLoss,0.8,0.8,0.0053,0.3175,0.3555,0.6773
14,MV_AlexNet_dis_Pre,66,1e-06,16,12,OS-ABO-core,OS-ABO-core,SimpleFeatureDistillationLoss,0.8,0.8,0.0040,0.3991,0.4540,0.5948
15,MV_AlexNet_dis_Pre,66,1e-06,32,12,OS-ABO-core,OS-ABO-core,SimpleFeatureDistillationLoss,0.8,0.8,0.0047,0.3984,0.4536,0.5963
13,MV_AlexNet_dis_Pre,66,1e-06,8,12,OS-ABO-core,OS-ABO-core,SimpleFeatureDistillationLoss,0.8,0.8,0.0044,0.3997,0.4552,0.5941
12,MV_AlexNet_dis_Pre,66,1e-06,4,12,OS-ABO-core,OS-ABO-core,SimpleFeatureDistillationLoss,0.8,0.8,0.0041,0.3994,0.4553,0.5935
18,MV_AlexNet_dis_Pre,66,1e-05,16,12,OS-ABO-core,OS-ABO-core,SimpleFeatureDistillationLoss,0.8,0.8,0.0040,0.3965,0.4565,0.5947
19,MV_AlexNet_dis_Pre,66,1e-07,16,12,OS-ABO-core,OS-ABO-core,SimpleFeatureDistillationLoss,0.8,0.8,0.0039,0.3952,0.4519,0.5989
17,MV_AlexNet_dis_Pre,66,0.0001,16,12,OS-ABO-core,OS-ABO-core,SimpleFeatureDistillationLoss,0.8,0.8,0.0040,0.3482,0.4172,0.6388
20,MV_AlexNet_dis_Pre,66,1e-06,16,12,OS-ESB-core,OS-ESB-core,SimpleFeatureDistillationLoss,0.8,0.8,0.0033,0.3785,0.1822,0.6366
21,MV_AlexNet_dis_Pre,66,1e-06,16,12,OS-NTU-core,OS-NTU-core,SimpleFeatureDistillationLoss,0.8,0.8,0.0022,0.2854,0.1630,0.7067
24,MV_AlexNet_dis_Pre,66,1e-06,16,12,OS-ESB-core,OS-ESB-core,RelationDisLoss,0.8,0.8,0.0035,0.3785,0.1822,0.6366
22,MV_AlexNet_dis_Pre,66,1e-06,16,12,OS-MN40-core,OS-MN40-core,SimpleFeatureDistillationLoss,0.8,0.8,0.0026,0.4371,0.5743,0.5603
25,MV_AlexNet_dis_Pre,66,1e-06,16,12,OS-NTU-core,OS-NTU-core,RelationDisLoss,0.8,0.8,0.0027,0.2850,0.1629,0.7070
23,MV_AlexNet_dis_Pre,66,1e-06,16,12,OS-ABO-core,OS-ABO-core,RelationDisLoss,0.8,0.8,0.0043,0.3977,0.4539,0.5966
