Model,Epochs,Learning Rate,Batch Size,num_views,Train Dataset,test_dataset,loss,average_inference_time,mAP,ndcg@100,anmrr
MVCNN_CLIP_L,14,1e-06,8,12,OS-ABO-core,OS-ABO-core,TripleLoss,0.1359,0.3151,0.3776,0.6733
MV_AlexNet,14,1e-06,8,12,OS-ABO-core,OS-ABO-core,TripleLoss,0.0028,0.3304,0.3745,0.6671
MV_AlexNet_dis_Pre,14,1e-06,8,12,OS-ABO-core,OS-ABO-core,RelationDisLoss,0.0030,0.4141,0.4490,0.5813
MV_AlexNet_dis_Pre,14,1e-06,8,12,OS-ABO-core,OS-ABO-core,SimpleFeatureDistillationLoss,0.0030,0.4167,0.4580,0.5834
MV_CLIP_without_adpter_L_257,14,1e-06,8,12,OS-ABO-core,OS-ABO-core,TripleLoss,0.2673,0.1780,0.2401,0.8096
MV_CLIP_without_adpter,14,1e-06,8,12,OS-ABO-core,OS-ABO-core,TripleLoss,0.2704,0.1465,0.1725,0.8464
MV_CLIP_without_adpter_L_cls,/,/,/,12,/,OS-ABO-core,/,0.2701,0.4781,0.5073,0.5317


MV_AlexNet,14,1e-06,4,12,OS-ESB-core,OS-ESB-core,TripleLoss,0.0023,0.3403,0.1695,0.6695
MV_AlexNet_dis_Pre,14,1e-06,4,12,OS-ESB-core,OS-ESB-core,RelationDisLoss,0.0022,0.3700,0.1792,0.6430
MV_AlexNet_dis_Pre,14,1e-06,4,12,OS-ESB-core,OS-ESB-core,SimpleFeatureDistillationLoss,0.0023,0.3757,0.1785,0.6297
MV_AlexNet_dis_Pre,14,1e-06,8,12,OS-ESB-core,OS-ESB-core,SimpleFeatureDistillationLoss,0.0023,0.3873,0.1844,0.6257
MV_AlexNet_dis_Pre,14,1e-06,32,12,OS-ESB-core,OS-ESB-core,SimpleFeatureDistillationLoss,0.0022,0.3796,0.1793,0.6341
MV_AlexNet_dis_Pre,14,1e-06,64,12,OS-ESB-core,OS-ESB-core,SimpleFeatureDistillationLoss,0.0023,0.3814,0.1802,0.6301

MV_CLIP_without_adpter_B_cls,/,/,/,12,/,OS-ABO-core,/,0.0108,0.4281,0.4728,0.5726
MV_AlexNet_dis_Pre,127,1e-06,64,12,OS-ABO-core,OS-ABO-core,SimpleFeatureDistillationLoss,0.0032,0.3968,0.4522,0.5968

MV_AlexNet,66,1e-06,64,12,OS-MN40-core,OS-MN40-core,TripleLoss,0.0022,0.3510,0.4766,0.6340
MV_AlexNet_dis_Pre,66,1e-06,64,12,OS-MN40-core,OS-MN40-core,SimpleFeatureDistillationLoss,0.0020,0.4330,0.5727,0.5626
MV_CLIP_without_adpter,66,1e-06,64,12,OS-MN40-core,OS-MN40-core,TripleLoss,0.0101,0.4479,0.5836,0.5503

MV_AlexNet,66,0.0001,64,12,OS-ESB-core,OS-ESB-core,TripleLoss,0.0023,0.3501,0.1715,0.6798

MV_AlexNet,66,0.0001,32,12,OS-NTU-core,OS-NTU-core,TripleLoss,0.0023,0.2073,0.1286,0.8004
MV_AlexNet,66,0.0001,32,12,OS-ABO-core,OS-ABO-core,TripleLoss,0.0041,0.2775,0.3162,0.7184
MV_AlexNet,66,0.0001,32,12,OS-MN40-core,OS-MN40-core,TripleLoss,0.0029,0.2040,0.2672,0.7901
MV_AlexNet,66,0.0001,32,12,OS-ESB-core,OS-ESB-core,TripleLoss,0.0036,0.3360,0.1657,0.6957

MV_AlexNet_dis_Pre,66,0.0001,32,12,OS-NTU-core,OS-NTU-core,RelationDisLoss,0.0023,0.2280,0.1405,0.7624
MV_AlexNet_dis_Pre,66,0.0001,32,12,OS-ABO-core,OS-ABO-core,RelationDisLoss,0.0033,0.2902,0.3733,0.7024
MV_AlexNet_dis_Pre,66,0.0001,32,12,OS-MN40-core,OS-MN40-core,RelationDisLoss,0.0033,0.2493,0.3767,0.7279
MV_AlexNet_dis_Pre,66,0.0001,32,12,OS-ESB-core,OS-ESB-core,RelationDisLoss,0.0029,0.3642,0.1761,0.6493


MV_AlexNet,66,1e-05,32,12,OS-NTU-core,OS-NTU-core,TripleLoss,0.0028,0.2540,0.1493,0.7514
MV_AlexNet,66,1e-06,32,12,OS-NTU-core,OS-NTU-core,TripleLoss,0.0034,0.2450,0.1478,0.7573

MV_AlexNet_dis_Pre,66,1e-05,32,12,OS-NTU-core,OS-NTU-core,RelationDisLoss,0.0038,0.2825,0.1643,0.7131
MV_AlexNet_dis_Pre,66,1e-06,32,12,OS-NTU-core,OS-NTU-core,RelationDisLoss,0.0040,0.2859,0.1629,0.7100

MV_AlexNet,66,1e-05,32,12,OS-NTU-core,OS-NTU-core,TripleLoss,0.0040,0.2545,0.1505,0.7498
MV_AlexNet,66,1e-06,32,12,OS-NTU-core,OS-NTU-core,TripleLoss,0.0042,0.2447,0.1477,0.7540

MV_AlexNet,66,1e-05,32,12,OS-ABO-core,OS-ABO-core,TripleLoss,0.0027,0.3099,0.3576,0.6895
MV_AlexNet_dis_Pre,66,1e-05,32,12,OS-ABO-core,OS-ABO-core,RelationDisLoss,0.0028,0.3837,0.4557,0.6096
MV_AlexNet_dis_Pre,66,1e-05,32,12,OS-ABO-core,OS-ABO-core,SimpleFeatureDistillationLoss,0.0042,0.3980,0.4512,0.5935


MV_AlexNet,66,1e-06,4,12,OS-ABO-core,OS-ABO-core,TripleLoss,0.0058,0.3240,0.3416,0.6721
MV_AlexNet,66,1e-06,8,12,OS-ABO-core,OS-ABO-core,TripleLoss,0.0073,0.3087,0.3358,0.6889
MV_AlexNet,66,1e-06,16,12,OS-ABO-core,OS-ABO-core,TripleLoss,0.0044,0.3116,0.3283,0.6871
MV_AlexNet_dis_Pre,66,1e-06,4,12,OS-ABO-core,OS-ABO-core,SimpleFeatureDistillationLoss,0.0056,0.3984,0.4505,0.5966
