Model,Epochs,Learning Rate,Batch Size,num_views,Train Dataset,test_dataset,loss,average_inference_time,mAP,ndcg@100,anmrr
MV_AlexNet_dis_Pre,66,1e-06,8,12,OS-ABO-core,OS-ABO-core,SimpleFeatureDistillationLoss,0.0063,0.3937,0.4457,0.5993
MV_AlexNet_dis_Pre,66,1e-06,16,12,OS-ABO-core,OS-ABO-core,SimpleFeatureDistillationLoss,0.0078,0.4073,0.4689,0.5891

MV_AlexNet,66,1e-05,4,12,OS-ABO-core,OS-ABO-core,TripleLoss,0.0045,0.3087,0.3616,0.6909
MV_AlexNet,66,1e-05,8,12,OS-ABO-core,OS-ABO-core,TripleLoss,0.0045,0.3102,0.3466,0.6891
MV_AlexNet,66,1e-05,16,12,OS-ABO-core,OS-ABO-core,TripleLoss,0.0046,0.3043,0.3379,0.6988
MV_AlexNet_dis_Pre,66,1e-05,4,12,OS-ABO-core,OS-ABO-core,SimpleFeatureDistillationLoss,0.0046,0.3808,0.4478,0.6081
MV_AlexNet_dis_Pre,66,1e-05,8,12,OS-ABO-core,OS-ABO-core,SimpleFeatureDistillationLoss,0.0050,0.3953,0.4621,0.5955
MV_AlexNet_dis_Pre,66,1e-05,16,12,OS-ABO-core,OS-ABO-core,SimpleFeatureDistillationLoss,0.0050,0.3958,0.4515,0.5976

MV_AlexNet_dis_Pre,66,1e-06,8,12,OS-ABO-core,OS-ABO-core,RelationDisLoss,0.0046,0.3993,0.4591,0.5935
MV_AlexNet_dis_Pre,66,1e-06,8,12,OS-ABO-core,OS-ABO-core,SimpleFeatureDistillationLoss,0.0063,0.3937,0.4457,0.5993
